index,date,value,ticker
Free Cash Flow,2024-12-31 00:00:00,7189000000.0,PEP
Repurchase Of Capital Stock,2024-12-31 00:00:00,-1000000000.0,PEP
Repayment Of Debt,2024-12-31 00:00:00,-9525000000.0,PEP
Issuance Of Debt,2024-12-31 00:00:00,10220000000.0,PEP
Capital Expenditure,2024-12-31 00:00:00,-5318000000.0,PEP
Interest Paid Supplemental Data,2024-12-31 00:00:00,1585000000.0,PEP
Income Tax Paid Supplemental Data,2024-12-31 00:00:00,3064000000.0,PEP
End Cash Position,2024-12-31 00:00:00,8553000000.0,PEP
Beginning Cash Position,2024-12-31 00:00:00,9761000000.0,PEP
Effect Of Exchange Rate Changes,2024-12-31 00:00:00,-687000000.0,PEP
Changes In Cash,2024-12-31 00:00:00,-521000000.0,PEP
Financing Cash Flow,2024-12-31 00:00:00,-7556000000.0,PEP
Cash Flow From Continuing Financing Activities,2024-12-31 00:00:00,-7556000000.0,PEP
Net Other Financing Charges,2024-12-31 00:00:00,-188000000.0,PEP
Proceeds From Stock Option Exercised,2024-12-31 00:00:00,166000000.0,PEP
Cash Dividends Paid,2024-12-31 00:00:00,-7229000000.0,PEP
Common Stock Dividend Paid,2024-12-31 00:00:00,-7229000000.0,PEP
Net Common Stock Issuance,2024-12-31 00:00:00,-1000000000.0,PEP
Common Stock Payments,2024-12-31 00:00:00,-1000000000.0,PEP
Net Issuance Payments Of Debt,2024-12-31 00:00:00,695000000.0,PEP
Net Short Term Debt Issuance,2024-12-31 00:00:00,539000000.0,PEP
Short Term Debt Payments,2024-12-31 00:00:00,-5639000000.0,PEP
Short Term Debt Issuance,2024-12-31 00:00:00,6178000000.0,PEP
Net Long Term Debt Issuance,2024-12-31 00:00:00,156000000.0,PEP
Long Term Debt Payments,2024-12-31 00:00:00,-3886000000.0,PEP
Long Term Debt Issuance,2024-12-31 00:00:00,4042000000.0,PEP
Investing Cash Flow,2024-12-31 00:00:00,-5472000000.0,PEP
Cash Flow From Continuing Investing Activities,2024-12-31 00:00:00,-5472000000.0,PEP
Net Other Investing Changes,2024-12-31 00:00:00,14000000.0,PEP
Net Investment Purchase And Sale,2024-12-31 00:00:00,-420000000.0,PEP
Sale Of Investment,2024-12-31 00:00:00,5000000.0,PEP
Purchase Of Investment,2024-12-31 00:00:00,-425000000.0,PEP
Net Business Purchase And Sale,2024-12-31 00:00:00,-90000000.0,PEP
Sale Of Business,2024-12-31 00:00:00,166000000.0,PEP
Purchase Of Business,2024-12-31 00:00:00,-256000000.0,PEP
Net PPE Purchase And Sale,2024-12-31 00:00:00,342000000.0,PEP
Sale Of PPE,2024-12-31 00:00:00,342000000.0,PEP
Capital Expenditure Reported,2024-12-31 00:00:00,-5318000000.0,PEP
Operating Cash Flow,2024-12-31 00:00:00,12507000000.0,PEP
Cash Flow From Continuing Operating Activities,2024-12-31 00:00:00,12507000000.0,PEP
Taxes Refund Paid,2024-12-31 00:00:00,-579000000.0,PEP
Change In Working Capital,2024-12-31 00:00:00,-1696000000.0,PEP
Change In Payables And Accrued Expense,2024-12-31 00:00:00,-1284000000.0,PEP
Change In Payable,2024-12-31 00:00:00,-1284000000.0,PEP
Change In Account Payable,2024-12-31 00:00:00,-1161000000.0,PEP
Change In Tax Payable,2024-12-31 00:00:00,-123000000.0,PEP
Change In Income Tax Payable,2024-12-31 00:00:00,-123000000.0,PEP
Change In Prepaid Assets,2024-12-31 00:00:00,40000000.0,PEP
Change In Inventory,2024-12-31 00:00:00,-314000000.0,PEP
Change In Receivables,2024-12-31 00:00:00,-138000000.0,PEP
Other Non Cash Items,2024-12-31 00:00:00,-439000000.0,PEP
Stock Based Compensation,2024-12-31 00:00:00,362000000.0,PEP
Asset Impairment Charge,2024-12-31 00:00:00,828000000.0,PEP
Deferred Tax,2024-12-31 00:00:00,176000000.0,PEP
Deferred Income Tax,2024-12-31 00:00:00,176000000.0,PEP
Depreciation Amortization Depletion,2024-12-31 00:00:00,3815000000.0,PEP
Depreciation And Amortization,2024-12-31 00:00:00,3815000000.0,PEP
Depreciation,2024-12-31 00:00:00,3815000000.0,PEP
Operating Gains Losses,2024-12-31 00:00:00,414000000.0,PEP
Pension And Employee Benefit Expense,2024-12-31 00:00:00,414000000.0,PEP
Gain Loss On Sale Of Business,2024-12-31 00:00:00,0.0,PEP
Net Income From Continuing Operations,2024-12-31 00:00:00,9626000000.0,PEP
Free Cash Flow,2023-12-31 00:00:00,7924000000.0,PEP
Repurchase Of Capital Stock,2023-12-31 00:00:00,-1000000000.0,PEP
