index,date,value,ticker
Tax Effect Of Unusual Items,2024-12-31 00:00:00,-1307368.421053,YUM
Tax Rate For Calcs,2024-12-31 00:00:00,0.217895,YUM
Normalized EBITDA,2024-12-31 00:00:00,2570000000.0,YUM
Total Unusual Items,2024-12-31 00:00:00,-6000000.0,YUM
Total Unusual Items Excluding Goodwill,2024-12-31 00:00:00,-6000000.0,YUM
Net Income From Continuing Operation Net Minority Interest,2024-12-31 00:00:00,1486000000.0,YUM
Reconciled Depreciation,2024-12-31 00:00:00,175000000.0,YUM
Reconciled Cost Of Revenue,2024-12-31 00:00:00,3965000000.0,YUM
EBITDA,2024-12-31 00:00:00,2564000000.0,YUM
EBIT,2024-12-31 00:00:00,2389000000.0,YUM
Net Interest Income,2024-12-31 00:00:00,-489000000.0,YUM
Interest Expense,2024-12-31 00:00:00,489000000.0,YUM
Normalized Income,2024-12-31 00:00:00,1490692631.578947,YUM
Net Income From Continuing And Discontinued Operation,2024-12-31 00:00:00,1486000000.0,YUM
Total Expenses,2024-12-31 00:00:00,5146000000.0,YUM
Total Operating Income As Reported,2024-12-31 00:00:00,2403000000.0,YUM
Diluted Average Shares,2024-12-31 00:00:00,285000000.0,YUM
Basic Average Shares,2024-12-31 00:00:00,282000000.0,YUM
Diluted EPS,2024-12-31 00:00:00,5.22,YUM
Basic EPS,2024-12-31 00:00:00,5.28,YUM
Diluted NI Availto Com Stockholders,2024-12-31 00:00:00,1486000000.0,YUM
Net Income Common Stockholders,2024-12-31 00:00:00,1486000000.0,YUM
Net Income,2024-12-31 00:00:00,1486000000.0,YUM
Net Income Including Noncontrolling Interests,2024-12-31 00:00:00,1486000000.0,YUM
Net Income Continuous Operations,2024-12-31 00:00:00,1486000000.0,YUM
Tax Provision,2024-12-31 00:00:00,414000000.0,YUM
Pretax Income,2024-12-31 00:00:00,1900000000.0,YUM
Other Income Expense,2024-12-31 00:00:00,-14000000.0,YUM
Other Non Operating Income Expenses,2024-12-31 00:00:00,-8000000.0,YUM
Special Income Charges,2024-12-31 00:00:00,21000000.0,YUM
Other Special Charges,2024-12-31 00:00:00,,YUM
Write Off,2024-12-31 00:00:00,13000000.0,YUM
Impairment Of Capital Assets,2024-12-31 00:00:00,,YUM
Restructuring And Mergern Acquisition,2024-12-31 00:00:00,-34000000.0,YUM
Gain On Sale Of Security,2024-12-31 00:00:00,-27000000.0,YUM
Net Non Operating Interest Income Expense,2024-12-31 00:00:00,-489000000.0,YUM
Interest Expense Non Operating,2024-12-31 00:00:00,489000000.0,YUM
Operating Income,2024-12-31 00:00:00,2403000000.0,YUM
Operating Expense,2024-12-31 00:00:00,1181000000.0,YUM
Selling General And Administration,2024-12-31 00:00:00,1181000000.0,YUM
General And Administrative Expense,2024-12-31 00:00:00,1181000000.0,YUM
Other Gand A,2024-12-31 00:00:00,1181000000.0,YUM
Salaries And Wages,2024-12-31 00:00:00,,YUM
Gross Profit,2024-12-31 00:00:00,3584000000.0,YUM
Cost Of Revenue,2024-12-31 00:00:00,3965000000.0,YUM
Total Revenue,2024-12-31 00:00:00,7549000000.0,YUM
Operating Revenue,2024-12-31 00:00:00,7549000000.0,YUM
Tax Effect Of Unusual Items,2023-12-31 00:00:00,2309680.968097,YUM
Tax Rate For Calcs,2023-12-31 00:00:00,0.121562,YUM
Normalized EBITDA,2023-12-31 00:00:00,2465000000.0,YUM
Total Unusual Items,2023-12-31 00:00:00,19000000.0,YUM
Total Unusual Items Excluding Goodwill,2023-12-31 00:00:00,19000000.0,YUM
Net Income From Continuing Operation Net Minority Interest,2023-12-31 00:00:00,1597000000.0,YUM
Reconciled Depreciation,2023-12-31 00:00:00,153000000.0,YUM
Reconciled Cost Of Revenue,2023-12-31 00:00:00,3580000000.0,YUM
EBITDA,2023-12-31 00:00:00,2484000000.0,YUM
EBIT,2023-12-31 00:00:00,2331000000.0,YUM
Net Interest Income,2023-12-31 00:00:00,-513000000.0,YUM
Interest Expense,2023-12-31 00:00:00,513000000.0,YUM
Normalized Income,2023-12-31 00:00:00,1580309680.968097,YUM
Net Income From Continuing And Discontinued Operation,2023-12-31 00:00:00,1597000000.0,YUM
Total Expenses,2023-12-31 00:00:00,4773000000.0,YUM
Total Operating Income As Reported,2023-12-31 00:00:00,2318000000.0,YUM
Diluted Average Shares,2023-12-31 00:00:00,285000000.0,YUM
Basic Average Shares,2023-12-31 00:00:00,281000000.0,YUM
Diluted EPS,2023-12-31 00:00:00,5.59,YUM
Basic EPS,2023-12-31 00:00:00,5.68,YUM
Diluted NI Availto Com Stockholders,2023-12-31 00:00:00,1597000000.0,YUM
Net Income Common Stockholders,2023-12-31 00:00:00,1597000000.0,YUM
Net Income,2023-12-31 00:00:00,1597000000.0,YUM
Net Income Including Noncontrolling Interests,2023-12-31 00:00:00,1597000000.0,YUM
Net Income Continuous Operations,2023-12-31 00:00:00,1597000000.0,YUM
Tax Provision,2023-12-31 00:00:00,221000000.0,YUM
